country_name,year,Male_Migrants,Female_Migrants,Total_Migrants,continent,Country_Flag
Marshall Islands,2023,42,13,55,Oceania,🇲🇭
Marshall Islands,2024,22,8,30,Oceania,🇲🇭
Mauritania,2020,58,14,72,Africa,🇲🇷
Mauritania,2021,36,6,42,Africa,🇲🇷
Mauritania,2022,180,36,216,Africa,🇲🇷
Mauritania,2023,212,48,260,Africa,🇲🇷
Mauritania,2024,142,42,184,Africa,🇲🇷
Mauritius,2020,1265,1175,2440,Africa,🇲🇺
Mauritius,2021,63,83,146,Africa,🇲🇺
Mauritius,2022,3257,3227,6484,Africa,🇲🇺
Mauritius,2023,11447,11080,22527,Africa,🇲🇺
Mauritius,2024,5967,5709,11676,Africa,🇲🇺
Mayotte,2020,0,1,1,Africa,🇾🇹
Mayotte,2021,0,0,0,Africa,🇾🇹
Mayotte,2022,0,0,0,Africa,🇾🇹
Mayotte,2023,0,1,1,Africa,🇾🇹
Mexico,2020,871,780,1651,North America,🇲🇽
Mexico,2021,85,35,120,North America,🇲🇽
Mexico,2022,2256,1838,4094,North America,🇲🇽
Mexico,2023,5321,5220,10541,North America,🇲🇽
Mexico,2024,3448,3522,6970,North America,🇲🇽
"Micronesia, Fed. Sts.",2020,2,1,3,Oceania,🏳️
"Micronesia, Fed. Sts.",2021,0,0,0,Oceania,🏳️
"Micronesia, Fed. Sts.",2022,1,1,2,Oceania,🏳️
"Micronesia, Fed. Sts.",2023,7,8,15,Oceania,🏳️
"Micronesia, Fed. Sts.",2024,5,4,9,Oceania,🏳️
Moldova,2020,63,77,140,Europe,🏳️
Moldova,2021,2,1,3,Europe,🏳️
Moldova,2022,99,93,192,Europe,🏳️
Moldova,2023,251,192,443,Europe,🏳️
Moldova,2024,155,190,345,Europe,🏳️
Monaco,2020,4,7,11,Europe,🇲🇨
Monaco,2021,0,3,3,Europe,🇲🇨
Monaco,2022,9,13,22,Europe,🇲🇨
Monaco,2023,21,13,34,Europe,🇲🇨
Monaco,2024,28,8,36,Europe,🇲🇨
Mongolia,2020,563,816,1379,Asia,🇲🇳
Mongolia,2021,3,16,19,Asia,🇲🇳
Mongolia,2022,1228,1640,2868,Asia,🇲🇳
Mongolia,2023,2921,4113,7034,Asia,🇲🇳
Mongolia,2024,2426,3295,5721,Asia,🇲🇳
Montenegro,2020,58,20,78,Europe,🇲🇪
Montenegro,2021,75,1,76,Europe,🇲🇪
Montenegro,2022,77,8,85,Europe,🇲🇪
Montenegro,2023,149,40,189,Europe,🇲🇪
Montenegro,2024,120,46,166,Europe,🇲🇪
Morocco,2020,1274,1063,2337,Africa,🇲🇦
Morocco,2021,54,67,121,Africa,🇲🇦
Morocco,2022,2666,2487,5153,Africa,🇲🇦
Morocco,2023,6942,6615,13557,Africa,🇲🇦
Morocco,2024,5536,4766,10302,Africa,🇲🇦
Mozambique,2020,73,45,118,Africa,🇲🇿
Mozambique,2021,31,20,51,Africa,🇲🇿
Mozambique,2022,118,86,204,Africa,🇲🇿
Mozambique,2023,165,172,337,Africa,🇲🇿
Mozambique,2024,149,150,299,Africa,🇲🇿
Myanmar,2020,24286,12523,36809,Asia,🇲🇲
Myanmar,2021,1452,206,1658,Asia,🇲🇲
Myanmar,2022,41397,33530,74927,Asia,🇲🇲
Myanmar,2023,80704,75991,156695,Asia,🇲🇲
Myanmar,2024,47817,55322,103139,Asia,🇲🇲
Namibia,2020,25,37,62,Africa,🇳🇦
Namibia,2021,11,8,19,Africa,🇳🇦
Namibia,2022,46,70,116,Africa,🇳🇦
Namibia,2023,162,165,327,Africa,🇳🇦
Namibia,2024,67,50,117,Africa,🇳🇦
Nauru,2020,3,0,3,Oceania,🇳🇷
Nauru,2021,0,0,0,Oceania,🇳🇷
Nauru,2022,7,2,9,Oceania,🇳🇷
Nauru,2023,49,29,78,Oceania,🇳🇷
Nauru,2024,12,4,16,Oceania,🇳🇷
Nepal,2020,31495,2063,33558,Asia,🇳🇵
Nepal,2021,1073,59,1132,Asia,🇳🇵
Nepal,2022,171920,7977,179897,Asia,🇳🇵
Nepal,2023,155181,10466,165647,Asia,🇳🇵
Nepal,2024,66473,6428,72901,Asia,🇳🇵
Netherlands,2020,10478,6567,17045,Europe,🇳🇱
Netherlands,2021,645,220,865,Europe,🇳🇱
Netherlands,2022,22798,14196,36994,Europe,🇳🇱
Netherlands,2023,46621,33367,79988,Europe,🇳🇱
Netherlands,2024,31430,23643,55073,Europe,🇳🇱
New Caledonia,2020,0,0,0,Oceania,🇳🇨
New Caledonia,2021,0,0,0,Oceania,🇳🇨
New Caledonia,2022,1,0,1,Oceania,🇳🇨
New Caledonia,2023,0,0,0,Oceania,🇳🇨
New Caledonia,2024,1,0,1,Oceania,🇳🇨
New Zealand,2020,6483,4333,10816,Oceania,🇳🇿
New Zealand,2021,212,93,305,Oceania,🇳🇿
New Zealand,2022,13288,8630,21918,Oceania,🇳🇿
New Zealand,2023,31073,22184,53257,Oceania,🇳🇿
New Zealand,2024,19034,13835,32869,Oceania,🇳🇿
Nicaragua,2020,15,12,27,North America,🇳🇮
Nicaragua,2021,6,2,8,North America,🇳🇮
Nicaragua,2022,29,33,62,North America,🇳🇮
Nicaragua,2023,42,40,82,North America,🇳🇮
Nicaragua,2024,38,40,78,North America,🇳🇮
Niger,2020,9,3,12,Africa,🇳🇪
Niger,2021,2,0,2,Africa,🇳🇪
Niger,2022,13,10,23,Africa,🇳🇪
Niger,2023,24,12,36,Africa,🇳🇪
Niger,2024,16,6,22,Africa,🇳🇪
Nigeria,2020,1764,368,2132,Africa,🇳🇬
Nigeria,2021,1122,145,1267,Africa,🇳🇬
Nigeria,2022,3050,770,3820,Africa,🇳🇬
Nigeria,2023,4207,1235,5442,Africa,🇳🇬
Nigeria,2024,2609,683,3292,Africa,🇳🇬
North Korea,2020,7,1,8,Asia,🏳️
North Korea,2021,1,0,1,Asia,🏳️
North Korea,2022,0,0,0,Asia,🏳️
North Korea,2023,0,0,0,Asia,🏳️
North Korea,2024,1,0,1,Asia,🏳️
North Macedonia,2020,83,46,129,Europe,🇲🇰
North Macedonia,2021,7,4,11,Europe,🇲🇰
North Macedonia,2022,117,88,205,Europe,🇲🇰
North Macedonia,2023,309,270,579,Europe,🇲🇰
North Macedonia,2024,249,237,486,Europe,🇲🇰
Northern Mariana Islands,2020,2,0,2,Oceania,🇲🇵
Northern Mariana Islands,2021,0,0,0,Oceania,🇲🇵
Northern Mariana Islands,2022,0,0,0,Oceania,🇲🇵
Northern Mariana Islands,2023,0,1,1,Oceania,🇲🇵
Norway,2020,2433,1739,4172,Europe,🇳🇴
Norway,2021,198,42,240,Europe,🇳🇴
Norway,2022,3780,2113,5893,Europe,🇳🇴
Norway,2023,7153,4851,12004,Europe,🇳🇴
Norway,2024,5567,4329,9896,Europe,🇳🇴
Oman,2020,2006,1371,3377,Asia,🇴🇲
Oman,2021,133,54,187,Asia,🇴🇲
Oman,2022,4428,2854,7282,Asia,🇴🇲
Oman,2023,11005,8434,19439,Asia,🇴🇲
Oman,2024,8120,6772,14892,Asia,🇴🇲
Pakistan,2020,31052,5557,36609,Asia,🇵🇰
Pakistan,2021,4550,633,5183,Asia,🇵🇰
Pakistan,2022,74737,13523,88260,Asia,🇵🇰
Pakistan,2023,135400,22374,157774,Asia,🇵🇰
Pakistan,2024,64943,15553,80496,Asia,🇵🇰
Palau,2020,0,0,0,Oceania,🇵🇼
Palau,2021,0,0,0,Oceania,🇵🇼
Palau,2022,13,2,15,Oceania,🇵🇼
Palau,2023,14,10,24,Oceania,🇵🇼
Palau,2024,22,4,26,Oceania,🇵🇼
Palestine,2020,937,278,1215,Asia,🏳️
Palestine,2021,208,43,251,Asia,🏳️
Palestine,2022,1674,785,2459,Asia,🏳️
Palestine,2023,3026,1318,4344,Asia,🏳️
Palestine,2024,1697,790,2487,Asia,🏳️
Panama,2020,60,61,121,North America,🇵🇦
Panama,2021,15,6,21,North America,🇵🇦
Panama,2022,67,71,138,North America,🇵🇦
Panama,2023,200,220,420,North America,🇵🇦
Panama,2024,128,146,274,North America,🇵🇦
Papua New Guinea,2020,116,84,200,Oceania,🇵🇬
Papua New Guinea,2021,6,6,12,Oceania,🇵🇬
Papua New Guinea,2022,258,192,450,Oceania,🇵🇬
Papua New Guinea,2023,699,441,1140,Oceania,🇵🇬
Papua New Guinea,2024,403,397,800,Oceania,🇵🇬
Paraguay,2020,13,22,35,South America,🇵🇾
Paraguay,2021,0,0,0,South America,🇵🇾
Paraguay,2022,43,30,73,South America,🇵🇾
Paraguay,2023,131,95,226,South America,🇵🇾
Paraguay,2024,76,76,152,South America,🇵🇾
Peru,2020,264,244,508,South America,🇵🇪
Peru,2021,14,8,22,South America,🇵🇪
Peru,2022,481,408,889,South America,🇵🇪
Peru,2023,1139,1123,2262,South America,🇵🇪
Peru,2024,721,633,1354,South America,🇵🇪
Philippines,2020,38153,58858,97011,Asia,🇵🇭
Philippines,2021,6268,1572,7840,Asia,🇵🇭
Philippines,2022,84780,149583,234363,Asia,🇵🇭
Philippines,2023,183005,327575,510580,Asia,🇵🇭
Philippines,2024,125171,228117,353288,Asia,🇵🇭
Poland,2020,4407,3979,8386,Europe,🇵🇱
Poland,2021,307,51,358,Europe,🇵🇱
Poland,2022,5327,4319,9646,Europe,🇵🇱
Poland,2023,12667,11447,24114,Europe,🇵🇱
Poland,2024,11442,10627,22069,Europe,🇵🇱
Portugal,2020,1237,991,2228,Europe,🇵🇹
Portugal,2021,84,67,151,Europe,🇵🇹
Portugal,2022,3444,2368,5812,Europe,🇵🇹
Portugal,2023,6897,5223,12120,Europe,🇵🇹
Portugal,2024,5006,3982,8988,Europe,🇵🇹
Puerto Rico,2024,0,1,1,North America,🇵🇷
Qatar,2020,166,64,230,Asia,🇶🇦
Qatar,2021,32,18,50,Asia,🇶🇦
Qatar,2022,798,578,1376,Asia,🇶🇦
Qatar,2023,1590,1135,2725,Asia,🇶🇦
Qatar,2024,1009,657,1666,Asia,🇶🇦
Reunion,2020,0,0,0,Africa,🏳️
Reunion,2021,0,0,0,Africa,🏳️
Reunion,2022,0,0,0,Africa,🏳️
Reunion,2023,1,1,2,Africa,🏳️
Romania,2020,1673,1447,3120,Europe,🇷🇴
Romania,2021,271,63,334,Europe,🇷🇴
Romania,2022,2459,1976,4435,Europe,🇷🇴
Romania,2023,5634,5050,10684,Europe,🇷🇴
Romania,2024,4239,3868,8107,Europe,🇷🇴
Russia,2020,15909,17765,33674,Europe,🏳️
Russia,2021,727,228,955,Europe,🏳️
Russia,2022,22232,18498,40730,Europe,🏳️
Russia,2023,68168,65063,133231,Europe,🏳️
Russia,2024,39686,42198,81884,Europe,🏳️
Rwanda,2020,9,10,19,Africa,🇷🇼
Rwanda,2021,7,8,15,Africa,🇷🇼
Rwanda,2022,31,28,59,Africa,🇷🇼
Rwanda,2023,86,60,146,Africa,🇷🇼
Rwanda,2024,41,31,72,Africa,🇷🇼
Samoa,2020,5,4,9,Oceania,🇼🇸
Samoa,2021,0,0,0,Oceania,🇼🇸
Samoa,2022,19,13,32,Oceania,🇼🇸
Samoa,2023,24,33,57,Oceania,🇼🇸
Samoa,2024,4,13,17,Oceania,🇼🇸
San Marino,2020,6,2,8,Europe,🇸🇲
San Marino,2021,1,0,1,Europe,🇸🇲
San Marino,2022,7,1,8,Europe,🇸🇲
San Marino,2023,22,15,37,Europe,🇸🇲
San Marino,2024,22,10,32,Europe,🇸🇲
Sao Tome and Principe,2020,5,5,10,Africa,🇸🇹
Sao Tome and Principe,2021,2,0,2,Africa,🇸🇹
Sao Tome and Principe,2022,5,4,9,Africa,🇸🇹
Sao Tome and Principe,2023,18,4,22,Africa,🇸🇹
Sao Tome and Principe,2024,3,4,7,Africa,🇸🇹
Saudi Arabia,2020,12992,11602,24594,Asia,🇸🇦
Saudi Arabia,2021,705,442,1147,Asia,🇸🇦
Saudi Arabia,2022,21181,17615,38796,Asia,🇸🇦
Saudi Arabia,2023,31914,25005,56919,Asia,🇸🇦
Saudi Arabia,2024,24397,19979,44376,Asia,🇸🇦
Senegal,2020,133,43,176,Africa,🇸🇳
Senegal,2021,29,21,50,Africa,🇸🇳
Senegal,2022,161,68,229,Africa,🇸🇳
Senegal,2023,644,250,894,Africa,🇸🇳
Senegal,2024,357,151,508,Africa,🇸🇳
Serbia,2020,203,151,354,Europe,🇷🇸
Serbia,2021,24,10,34,Europe,🇷🇸
Serbia,2022,276,178,454,Europe,🇷🇸
Serbia,2023,606,503,1109,Europe,🇷🇸
Serbia,2024,613,621,1234,Europe,🇷🇸
Seychelles,2020,135,145,280,Africa,🇸🇨
Seychelles,2021,44,59,103,Africa,🇸🇨
Seychelles,2022,210,295,505,Africa,🇸🇨
Seychelles,2023,433,642,1075,Africa,🇸🇨
Seychelles,2024,287,439,726,Africa,🇸🇨
Sierra Leone,2020,79,43,122,Africa,🇸🇱
Sierra Leone,2021,13,8,21,Africa,🇸🇱
Sierra Leone,2022,98,38,136,Africa,🇸🇱
Sierra Leone,2023,193,102,295,Africa,🇸🇱
Sierra Leone,2024,131,73,204,Africa,🇸🇱
Singapore,2020,1676806,1101015,2777821,Asia,🇸🇬
Singapore,2021,10557,7135,17692,Asia,🇸🇬
Singapore,2022,4869972,3519059,8389031,Asia,🇸🇬
Singapore,2023,8433439,6452273,14885712,Asia,🇸🇬
Singapore,2024,5657116,4394790,10051906,Asia,🇸🇬
Slovakia,2020,1219,1087,2306,Europe,🇸🇰
Slovakia,2021,86,24,110,Europe,🇸🇰
Slovakia,2022,1217,971,2188,Europe,🇸🇰
Slovakia,2023,3018,2399,5417,Europe,🇸🇰
Slovakia,2024,2399,2077,4476,Europe,🇸🇰
Slovenia,2020,375,287,662,Europe,🇸🇮
Slovenia,2021,15,5,20,Europe,🇸🇮
Slovenia,2022,387,259,646,Europe,🇸🇮
Slovenia,2023,1221,1006,2227,Europe,🇸🇮
Slovenia,2024,1312,1202,2514,Europe,🇸🇮
Solomon Islands,2020,21,24,45,Oceania,🇸🇧
Solomon Islands,2021,2,0,2,Oceania,🇸🇧
Solomon Islands,2022,45,28,73,Oceania,🇸🇧
Solomon Islands,2023,110,97,207,Oceania,🇸🇧
Solomon Islands,2024,62,81,143,Oceania,🇸🇧
Somalia,2020,555,321,876,Africa,🇸🇴
Somalia,2021,300,102,402,Africa,🇸🇴
Somalia,2022,1174,687,1861,Africa,🇸🇴
Somalia,2023,1673,1063,2736,Africa,🇸🇴
Somalia,2024,886,677,1563,Africa,🇸🇴
South Africa,2020,2774,2102,4876,Africa,🇿🇦
South Africa,2021,364,125,489,Africa,🇿🇦
South Africa,2022,5950,4335,10285,Africa,🇿🇦
South Africa,2023,10980,8641,19621,Africa,🇿🇦
South Africa,2024,6493,5259,11752,Africa,🇿🇦
South Georgia and South Sandwich Is.,2020,0,0,0,South America,🏳️
South Georgia and South Sandwich Is.,2021,1,0,1,South America,🏳️
South Georgia and South Sandwich Is.,2022,4,0,4,South America,🏳️
South Georgia and South Sandwich Is.,2023,0,2,2,South America,🏳️
South Korea,2020,66951,73411,140362,Asia,🏳️
South Korea,2021,3546,1802,5348,Asia,🏳️
South Korea,2022,101747,86194,187941,Asia,🏳️
South Korea,2023,225397,219263,444660,Asia,🏳️
South Korea,2024,164212,172489,336701,Asia,🏳️
South Sudan,2020,44,16,60,Africa,🇸🇸
South Sudan,2021,30,8,38,Africa,🇸🇸
South Sudan,2022,195,63,258,Africa,🇸🇸
South Sudan,2023,237,152,389,Africa,🇸🇸
South Sudan,2024,150,107,257,Africa,🇸🇸
Spain,2020,4505,3107,7612,Europe,🇪🇸
Spain,2021,270,114,384,Europe,🇪🇸
Spain,2022,14393,10828,25221,Europe,🇪🇸
Spain,2023,27130,21742,48872,Europe,🇪🇸
Spain,2024,18070,14976,33046,Europe,🇪🇸
Sri Lanka,2020,6873,3495,10368,Asia,🇱🇰
Sri Lanka,2021,511,319,830,Asia,🇱🇰
Sri Lanka,2022,19230,10820,30050,Asia,🇱🇰
Sri Lanka,2023,42562,23712,66274,Asia,🇱🇰
Sri Lanka,2024,22516,13896,36412,Asia,🇱🇰
St. Helena,2020,0,0,0,Africa,🏳️
St. Helena,2021,0,0,0,Africa,🏳️
St. Helena,2022,0,0,0,Africa,🏳️
St. Helena,2023,1,0,1,Africa,🏳️
St. Helena,2024,1,0,1,Africa,🏳️
St. Kitts and Nevis,2020,101,35,136,North America,🏳️
St. Kitts and Nevis,2021,5,1,6,North America,🏳️
St. Kitts and Nevis,2022,404,160,564,North America,🏳️
St. Kitts and Nevis,2023,825,308,1133,North America,🏳️
St. Kitts and Nevis,2024,430,163,593,North America,🏳️
St. Lucia,2020,29,5,34,North America,🏳️
St. Lucia,2021,3,0,3,North America,🏳️
St. Lucia,2022,76,21,97,North America,🏳️
St. Lucia,2023,171,55,226,North America,🏳️
St. Lucia,2024,96,48,144,North America,🏳️
St. Pierre and Miquelon,2024,0,1,1,North America,🏳️
St. Vincent and the Grenadines,2020,3,2,5,North America,🏳️
St. Vincent and the Grenadines,2021,0,0,0,North America,🏳️
St. Vincent and the Grenadines,2022,6,3,9,North America,🏳️
St. Vincent and the Grenadines,2023,22,21,43,North America,🏳️
St. Vincent and the Grenadines,2024,18,6,24,North America,🏳️
Sudan,2020,1919,1155,3074,Africa,🇸🇩
Sudan,2021,477,215,692,Africa,🇸🇩
Sudan,2022,4334,3081,7415,Africa,🇸🇩
Sudan,2023,7188,5516,12704,Africa,🇸🇩
Sudan,2024,4929,3688,8617,Africa,🇸🇩
Suriname,2020,19,13,32,South America,🇸🇷
Suriname,2021,0,0,0,South America,🇸🇷
Suriname,2022,57,51,108,South America,🇸🇷
Suriname,2023,201,141,342,South America,🇸🇷
Suriname,2024,102,58,160,South America,🇸🇷
Sweden,2020,5691,4580,10271,Europe,🇸🇪
Sweden,2021,353,80,433,Europe,🇸🇪
Sweden,2022,5914,3507,9421,Europe,🇸🇪
Sweden,2023,12209,8472,20681,Europe,🇸🇪
Sweden,2024,8114,6231,14345,Europe,🇸🇪
Switzerland,2020,3634,2409,6043,Europe,🇨🇭
Switzerland,2021,193,96,289,Europe,🇨🇭
Switzerland,2022,7576,4626,12202,Europe,🇨🇭
Switzerland,2023,15592,11001,26593,Europe,🇨🇭
Switzerland,2024,11205,8277,19482,Europe,🇨🇭
Syria,2020,1613,694,2307,Asia,🏳️
Syria,2021,281,129,410,Asia,🏳️
Syria,2022,3213,2041,5254,Asia,🏳️
Syria,2023,5286,3005,8291,Asia,🏳️
Syria,2024,3297,1995,5292,Asia,🏳️
Taiwan,2020,32203,34657,66860,Asia,🏳️
Taiwan,2021,753,408,1161,Asia,🏳️
Taiwan,2022,29557,29360,58917,Asia,🏳️
Taiwan,2023,147784,166316,314100,Asia,🏳️
Taiwan,2024,115418,134681,250099,Asia,🏳️
Tajikistan,2020,239,87,326,Asia,🇹🇯
Tajikistan,2021,25,13,38,Asia,🇹🇯
Tajikistan,2022,518,218,736,Asia,🇹🇯
Tajikistan,2023,999,429,1428,Asia,🇹🇯
Tajikistan,2024,846,389,1235,Asia,🇹🇯
Tanzania,2020,327,288,615,Africa,🏳️
Tanzania,2021,116,98,214,Africa,🏳️
Tanzania,2022,588,569,1157,Africa,🏳️
Tanzania,2023,1386,1262,2648,Africa,🏳️
Tanzania,2024,785,802,1587,Africa,🏳️
Thailand,2020,320874,216462,537336,Asia,🇹🇭
Thailand,2021,315105,4260,319365,Asia,🇹🇭
Thailand,2022,733658,479976,1213634,Asia,🇹🇭
Thailand,2023,1280305,1081917,2362222,Asia,🇹🇭
Thailand,2024,733191,671070,1404261,Asia,🇹🇭
Timor-Leste,2020,144,114,258,,🇹🇱
Timor-Leste,2021,12,13,25,,🇹🇱
Timor-Leste,2022,1504,806,2310,,🇹🇱
Timor-Leste,2023,1482,1135,2617,,🇹🇱
Timor-Leste,2024,943,846,1789,,🇹🇱
Togo,2020,27,3,30,Africa,🇹🇬
Togo,2021,6,0,6,Africa,🇹🇬
Togo,2022,35,9,44,Africa,🇹🇬
Togo,2023,97,28,125,Africa,🇹🇬
Togo,2024,51,19,70,Africa,🇹🇬
Tokelau,2020,2,0,2,Oceania,🇹🇰
Tokelau,2021,0,0,0,Oceania,🇹🇰
Tokelau,2022,0,0,0,Oceania,🇹🇰
Tokelau,2023,0,0,0,Oceania,🇹🇰
Tonga,2020,15,8,23,Oceania,🇹🇴
Tonga,2021,0,0,0,Oceania,🇹🇴
Tonga,2022,37,41,78,Oceania,🇹🇴
Tonga,2023,83,106,189,Oceania,🇹🇴
Tonga,2024,83,73,156,Oceania,🇹🇴
Trinidad and Tobago,2020,80,35,115,North America,🇹🇹
Trinidad and Tobago,2021,7,7,14,North America,🇹🇹
Trinidad and Tobago,2022,158,94,252,North America,🇹🇹
Trinidad and Tobago,2023,294,237,531,North America,🇹🇹
Trinidad and Tobago,2024,161,148,309,North America,🇹🇹
Tunisia,2020,492,392,884,Africa,🇹🇳
Tunisia,2021,39,39,78,Africa,🇹🇳
Tunisia,2022,1656,1536,3192,Africa,🇹🇳
Tunisia,2023,5089,5104,10193,Africa,🇹🇳
Tunisia,2024,3048,2837,5885,Africa,🇹🇳
Turkmenistan,2020,215,146,361,Asia,🇹🇲
Turkmenistan,2021,15,14,29,Asia,🇹🇲
Turkmenistan,2022,297,212,509,Asia,🇹🇲
Turkmenistan,2023,839,529,1368,Asia,🇹🇲
Turkmenistan,2024,2074,1833,3907,Asia,🇹🇲
Turks and Caicos Islands,2020,0,0,0,North America,🇹🇨
Turks and Caicos Islands,2021,0,0,0,North America,🇹🇨
Turks and Caicos Islands,2022,0,0,0,North America,🇹🇨
Turks and Caicos Islands,2023,0,2,2,North America,🇹🇨
Turks and Caicos Islands,2024,0,1,1,North America,🇹🇨
Tuvalu,2020,0,0,0,Oceania,🇹🇻
Tuvalu,2021,0,0,0,Oceania,🇹🇻
Tuvalu,2022,0,1,1,Oceania,🇹🇻
Tuvalu,2023,3,1,4,Oceania,🇹🇻
Tuvalu,2024,4,6,10,Oceania,🇹🇻
Türkiye,2020,2642,1136,3778,Asia,🇹🇷
Türkiye,2021,417,132,549,Asia,🇹🇷
Türkiye,2022,6518,2699,9217,Asia,🇹🇷
Türkiye,2023,14920,6755,21675,Asia,🇹🇷
Türkiye,2024,11808,6023,17831,Asia,🇹🇷
Uganda,2020,160,179,339,Africa,🇺🇬
Uganda,2021,31,29,60,Africa,🇺🇬
Uganda,2022,352,332,684,Africa,🇺🇬
Uganda,2023,759,883,1642,Africa,🇺🇬
Uganda,2024,735,996,1731,Africa,🇺🇬
Ukraine,2020,4136,3517,7653,Europe,🇺🇦
Ukraine,2021,743,57,800,Europe,🇺🇦
Ukraine,2022,2855,2577,5432,Europe,🇺🇦
Ukraine,2023,6671,7058,13729,Europe,🇺🇦
Ukraine,2024,4781,5487,10268,Europe,🇺🇦
United Arab Emirates,2020,525,226,751,Asia,🇦🇪
United Arab Emirates,2021,86,17,103,Asia,🇦🇪
United Arab Emirates,2022,2158,1466,3624,Asia,🇦🇪
United Arab Emirates,2023,4800,3675,8475,Asia,🇦🇪
United Arab Emirates,2024,2358,1884,4242,Asia,🇦🇪
United Kingdom,2020,47338,27838,75176,Europe,🇬🇧
United Kingdom,2021,3558,1449,5007,Europe,🇬🇧
United Kingdom,2022,101497,62501,163998,Europe,🇬🇧
United Kingdom,2023,195231,130422,325653,Europe,🇬🇧
United Kingdom,2024,144307,103990,248297,Europe,🇬🇧
United States,2020,32235,22221,54456,North America,🇺🇸
United States,2021,2109,1156,3265,North America,🇺🇸
United States,2022,76567,49969,126536,North America,🇺🇸
United States,2023,155261,112079,267340,North America,🇺🇸
United States,2024,106468,79994,186462,North America,🇺🇸
Uruguay,2020,214,266,480,South America,🇺🇾
Uruguay,2021,3,6,9,South America,🇺🇾
Uruguay,2022,134,148,282,South America,🇺🇾
Uruguay,2023,654,714,1368,South America,🇺🇾
Uruguay,2024,308,374,682,South America,🇺🇾
Uzbekistan,2020,2458,1664,4122,Asia,🇺🇿
Uzbekistan,2021,135,62,197,Asia,🇺🇿
Uzbekistan,2022,3756,2518,6274,Asia,🇺🇿
Uzbekistan,2023,9802,6325,16127,Asia,🇺🇿
Uzbekistan,2024,7414,4796,12210,Asia,🇺🇿
Vanuatu,2020,190,36,226,Oceania,🇻🇺
Vanuatu,2021,7,2,9,Oceania,🇻🇺
Vanuatu,2022,387,113,500,Oceania,🇻🇺
Vanuatu,2023,1118,297,1415,Oceania,🇻🇺
Vanuatu,2024,803,153,956,Oceania,🇻🇺
Vatican,2020,6,0,6,,🏳️
Vatican,2021,5,0,5,,🏳️
Vatican,2022,9,1,10,,🏳️
Vatican,2023,5,0,5,,🏳️
Vatican,2024,8,1,9,,🏳️
Venezuela,2020,187,136,323,South America,🏳️
Venezuela,2021,32,5,37,South America,🏳️
Venezuela,2022,312,218,530,South America,🏳️
Venezuela,2023,680,570,1250,South America,🏳️
Venezuela,2024,451,393,844,South America,🏳️
Vietnam,2020,22926,49153,72079,Asia,🏳️
Vietnam,2021,445,860,1305,Asia,🏳️
Vietnam,2022,64565,135557,200122,Asia,🏳️
Vietnam,2023,135119,267026,402145,Asia,🏳️
Vietnam,2024,81051,166488,247539,Asia,🏳️
Yemen,2020,4732,1697,6429,Asia,🇾🇪
Yemen,2021,920,281,1201,Asia,🇾🇪
Yemen,2022,7835,3664,11499,Asia,🇾🇪
Yemen,2023,11439,5160,16599,Asia,🇾🇪
Yemen,2024,6567,3186,9753,Asia,🇾🇪
Zambia,2020,132,107,239,Africa,🇿🇲
Zambia,2021,51,57,108,Africa,🇿🇲
Zambia,2022,250,179,429,Africa,🇿🇲
Zambia,2023,505,465,970,Africa,🇿🇲
Zambia,2024,272,277,549,Africa,🇿🇲
Zimbabwe,2020,265,209,474,Africa,🇿🇼
Zimbabwe,2021,44,54,98,Africa,🇿🇼
Zimbabwe,2022,462,575,1037,Africa,🇿🇼
Zimbabwe,2023,955,1070,2025,Africa,🇿🇼
Zimbabwe,2024,593,673,1266,Africa,🇿🇼
not found,2020,1801,1234,3035,,🏳️
not found,2021,112,64,176,,🏳️
not found,2022,2434,1605,4039,,🏳️
not found,2023,3989,2680,6669,,🏳️
not found,2024,298,193,491,,🏳️
